Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,1 NORTH WAUKEGAN ROAD NORTH CHICAGO IL US,December,2021-09-30,238451655000,28854999000,32.14,1.279,7.67,5.2,0.0418,4.196,31.19,0.137,0.367,0.0848,0.523,55168999000,31747000000,4.196,0.38,0.112,137.37,32.14,8.95,4.322,16.37,5.26,15.87,0.824,138.15,98.29,123.29,115.36,1767880000,2022-02-15,2022-01-13
ABC,Common Stock,AmerisourceBergen Corporation,AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.,1140859,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-DRUGS PROPRIETARIES & DRUGGISTS' SUNDRIES,1300 MORRIS DRIVE CHESTERBROOK PA US,September,2021-09-30,27706663000,3180097000,18.01,1.498,1.073,1.76,0.0138,7.39,1039.19,0.0072,0.0125,0.0329,-99999.99,213988835000,6774434000,7.39,-0.007,0.196,146.92,18.01,11.56,0.13,114.74,0.139,10.2,0.507,135.26,99.61,124.96,120.69,208133000,2021-11-29,2021-11-12
ABCB,Common Stock,Ameris Bancorp,Ameris Bancorp is the banking holding company for Ameris Bank providing a range of banking services to retail and business clients primarily in Georgia Alabama Florida and South Carolina. The company is headquartered in Atlanta Georgia.,351569,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,3490 PIEDMONT RD SUITE 1550 ATLANTA GA US,December,2021-09-30,3765175000,None,9.69,2.45,41.81,0.6,0.0111,5.58,15.07,0.372,0.482,0.0184,0.142,1046152000,938065000,5.58,-0.299,-0.185,60.29,9.69,11.06,3.599,1.181,-,-,1.291,59.33,36.18,51.33,51.43,69635000,2022-01-10,2021-12-30
ABCL,Common Stock,AbCellera Biologics Inc,AbCellera Biologics Inc. develops an antibody discovery platform. The company is headquartered in Vancouver Canada.,1703057,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,2215 YUKON STREET VANCOUVER BC CANADA,December,2021-09-30,3328287000,298535000,18.35,None,3.391,None,None,0.644,1.774,0.474,0.643,0.271,0.404,443780000,176619000,0.644,35.28,-0.412,38.88,18.35,-,7.5,4.126,7.23,10.39,None,55.22,11.43,14.68,20.06,281581000,None,None
ABCM,Common Stock,Abcam plc,Abcam plc a life sciences company researches develops and distributes biological reagents and tools for research drug discovery and diagnostics in the United States China Japan Europe the Middle East Africa and elsewhere. Pacific Asia. The company is headquartered in Cambridge the United Kingdom.,1492074,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,June,2021-06-30,4797408000,61000000,213.88,None,2.806,0,0,0.098,1.336,0.0544,0.113,0.0257,0.0285,297700000,211800000,0.098,-0.579,0.233,1673.17,213.88,65.79,16.11,6.24,16.89,78.55,0.577,24.69,17.14,22.67,20.74,228884000,None,2020-03-19
ABEO,Common Stock,Abeona Therapeutics Inc,Abeona Therapeutics Inc. a clinical-stage biopharmaceutical company develops gene and cell therapies for rare life-threatening genetic diseases. The company is headquartered in New York New York.,318306,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,1330 AVENUE OF THE AMERICAS 33RD FLOOR NEW YORK NY US,December,2021-09-30,45568900,-72345000,None,0,0.783,None,0,-0.567,0.031,0,-19.22,-0.259,-0.555,3000000,-20139000,-0.567,0,0,3.33,-,-,15.19,0.787,0.649,0.0499,1.288,3.79,0.27,0.625,1.204,146618000,None,None
ABEV,Common Stock,Ambev S.A,Ambev SA produces distributes and sells beer draft beer carbonated soft drinks (CSD) other non-alcoholic beverages malt and food products in the Americas. The company is headquartered in So Paulo Brazil.,1565025,NYSE,USD,USA,MANUFACTURING,BEVERAGES,RUA DR. RENATO PAES DE BARROS 1017 3 ANDAR PARTE SAO PAULO BR,December,2021-09-30,40762196000,21061366000,14.63,1.945,5.51,0.49,0.0416,0.177,4.41,0.228,0.245,0.0812,0.194,69400084000,31312896000,0.177,0.563,0.185,3.51,14.63,19.8,0.587,2.821,0.606,1.667,0.933,3.799,2.29,2.9,3.075,15738300000,2022-01-06,2021-12-20
ABG,Common Stock,Asbury Automotive Group Inc,Asbury Automotive Group Inc. is an automobile retailer in the United States. The company is headquartered in Duluth Georgia.,1144980,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO DEALERS & GASOLINE STATIONS,2905 PREMIERE PARKWAY NW SUITE 300 DULUTH GA US,December,2021-09-30,4052680000,726900000,7.08,0.303,67.28,None,0,24.74,488.56,0.0511,0.0729,0.121,0.455,9416900000,1223400000,24.74,0.52,0.304,248.13,7.08,6.65,0.43,3.066,0.57,7.23,1.529,230.97,137.96,173.15,188.12,23135700,2008-08-22,2008-07-30
ABGI,Common Stock,ABG Acquisition Corp. I,ABG Acquisition Corp. The company is headquartered in New York New York.,1833764,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,ALLY BRIDGE GROUP 430 PARK AVENUE 12TH FLOOR NEW YORK NY UNITED STATES,December,2021-09-30,188783000,None,None,None,0.259,None,None,-0.099,0,0,0,0,-99999.99,0,0,-0.099,0,0,None,-,-,-,-,-,-,None,10.69,9.61,9.79,9.81,15566300,None,None
ABIO,Common Stock,ARCA biopharma Inc,ARCA biopharma Inc. a clinical-stage biopharmaceutical company develops and markets genetically engineered therapies for cardiovascular disease. The company is headquartered in Westminster Colorado.,907654,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,11080 CIRCLEPOINT ROAD SUITE 140 WESTMINSTER CO US,December,2021-09-30,29396600,-6456000,None,0,3.928,None,0,-1.485,0,0,0,-0.209,-0.351,0,0,-1.485,0,0,7,-,-,-,0.593,-,1.302,2.46,5.5,2.01,2.378,3.009,14410100,2019-04-04,None
ABM,Common Stock,ABM Industries Incorporated,ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company is headquartered in New York New York.,771497,NYSE,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,551 FIFTH AVENUE SUITE 300 NEW YORK NY US,October,2021-10-31,2886596000,448100000,23.05,4.45,23.91,0.76,0.0182,1.86,92.41,0.0203,0.0575,0.0545,0.0812,6228600000,1022300000,1.86,-0.362,0.142,56.75,23.05,-,0.463,1.939,0.559,10.7,1.304,54.56,35.71,44.73,47.15,67318000,2022-02-07,2022-01-05
ABMD,Common Stock,Abiomed Inc,Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers Massachusetts and has three additional offices two in Germany in the cities of Berlin and Aachen and another in Tokyo Japan.,815094,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,22 CHERRY HILL DR DANVERS MA US,March,2021-09-30,14526441000,288176000,98.03,2.75,30.43,None,0,3.257,21.49,0.153,0.269,0.115,0.116,973635000,685615000,3.257,-0.088,0.183,384.4,98.03,-,14.92,10.06,13.63,46.15,1.294,387.4,261.27,337.32,327.94,45497500,None,None
ABNB,Common Stock,Airbnb Inc,Airbnb Inc. is an American company that operates an online marketplace for lodging primarily homestays for vacation rentals and tourism activities based in San Francisco California.,1559720,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,888 BRANNAN STREET SAN FRANCISCO CA UNITED STATES,December,2021-09-30,105506341000,None,None,None,7.11,None,None,-7.89,9.76,-0.807,-0.508,-0.151,-1.362,5318828000,2502157000,-7.89,0.664,0.667,196.29,-,138.89,19.84,25.77,20.52,-,None,219.94,129.71,177.62,162.45,346824000,None,None
ABOS,Common Stock,Acumen Pharmaceuticals Inc. Common Stock,Acumen Pharmaceuticals Inc. a clinical-stage biopharmaceutical company is dedicated to developing therapies for the treatment of Alzheimer's disease and other neurodegenerative diseases. The company is headquartered in Charlottesville Virginia.,1576885,NASDAQ,USD,USA,LIFE SCIENCES,BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES),427 PARK ST. CHARLOTTESVILLE VA UNITED STATES,December,2021-09-30,232704000,None,None,None,5.77,None,None,-9.31,0.033,0,-38.02,0,0,329000,-6561000,-9.31,0,0,24,-,-,707.31,1.221,258.2,-,None,26.98,5.65,9.24,13.53,40470300,None,None
ABR,Common Stock,Arbor Realty Trust Inc,Arbor Realty Trust Inc. invests in a diversified portfolio of structured financial assets in the commercial single-family and multi-family real estate markets in the United States. The company is headquartered in Uniondale New York.,1253986,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,333 EARLE OVINGTON BOULEVARD SUITE 900 UNIONDALE NY US,December,2021-09-30,2820482000,None,8.01,1.2,11.52,1.38,0.0768,2.34,4.902,0.504,0.611,0.0386,0.211,641231000,386831000,2.34,-0.292,0.099,21.88,8.01,-,4.399,1.659,-,-,1.876,20.36,12.98,18.52,18.11,150506000,2021-11-30,2021-11-12
ABSI,Common Stock,Absci Corporation Common Stock,None,1672688,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,18105 SE MILL PLAIN BLVD VANCOUVER WA UNITED STATES,December,2021-09-30,665733000,None,None,None,4.192,None,None,-2.684,0.194,0,-8.7,0,0,6058000,-6668000,-2.684,0,0.68,26.25,-,-,109.89,2.429,113.08,-,None,31.53,6.12,11.02,14.59,92592000,None,None
ABST,Common Stock,Absolute Software Corporation,Absolute Software Corporation develops markets and provides a cloud-based endpoint visibility and control platform for the management and security of computing devices applications and data for business and public sector organizations. The company is headquartered in Vancouver Canada.,1071058,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,SUITE 1400 FOUR BENTALL CENTRE VANCOUVER BC CA,June,2021-09-30,421482000,4347000,None,None,0.353,0.262,0.0292,-0.137,2.782,-0.0473,-0.0236,-0.006,0,136037000,104915000,-0.137,-0.2,0.535,19.42,-,285.71,3.098,25.05,4.904,97.63,0.8,20.87,8.36,9.58,12.24,49820600,2021-11-29,2021-11-16
