ACAD,ACADIAPharmaceuticalsInc,ACADIAPharmaceuticalsInc.abiopharmaceuticalcompanyfocusesonthedevelopmentandcommercializationofsmallmoleculedrugsthataddressunmetmedicalneedsincentralnervoussystemdisorders.ThecompanyisheadquarteredinSanDiegoCalifornia.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,4153443000,162625000
ACAH,AtlanticCoastalAcquisitionCorp,AtlanticCoastalAcquisitionCorp.ThecompanyisheadquarteredinSanFranciscoCalifornia.,NASDAQ,REALESTATECONSTRUCTION,BLANKCHECKS,124494000,12157600
ACAX,AlsetCapitalAcquisitionCorp,AlsetCapitalAcquisitionCorp.ThecompanyisheadquarteredinBethesdaMaryland.,NASDAQ,REALESTATECONSTRUCTION,BLANKCHECKS,116602000,9098800
ACB,AuroraCannabisInc,AuroraCannabisInc.producesanddistributesmedicalcannabisproductsglobally.ThecompanyisheadquarteredinEdmontonCanada.,NASDAQ,LIFESCIENCES,MEDICINALCHEMICALSBOTANICALPRODUCTS,209877000,340987000
ACBA,AceGlobalBusinessAcquisitionLtd,AceGlobalBusinessAcquisitionLimitedfocusesoneffectingamergershareexchangeassetacquisitionsharepurchaserecapitalizationreorganizationorsimilarbusinesscombinationwithoneormorecompaniesorentities.ThecompanyisheadquarteredinCentralHongKong.,NASDAQ,TRADESERVICES,RETAIL-CATALOGMAIL-ORDERHOUSES,42139800,3789600
ACCD,AccoladeInc,AccoladeInc.developsandprovidestechnologysolutionsthathelppeopleunderstandnavigateandutilizethehealthcaresystemandbenefitsoftheirworkplaceintheUnitedStates.ThecompanyisheadquarteredinPlymouthMeetingPennsylvania.,NASDAQ,TRADESERVICES,SERVICES-BUSINESSSERVICESNEC,815865000,73634000
ACCO,AccoBrandsCorporation,ACCOBrandsCorporationdesignsmanufacturesandmarketsconsumerschooltechnologyandofficeproducts.ThecompanyisheadquarteredinLakeZurichIllinois.,NYSE,MANUFACTURING,BLANKBOOKSLOOSELEAFBINDERSBOOKBINDGRELATDWORK,497367000,94917000
ACDC,ProFracHoldingCorp.,None,NASDAQ,ENERGYTRANSPORTATION,OILGASFIELDSERVICESNEC,1957253000,158997000
ACEL,AccelEntertainmentInc,AccelEntertainmentInc.isadistributedgamesoperatorintheUnitedStates.ThecompanyisheadquarteredinBurrRidgeIllinois.,NYSE,REALESTATECONSTRUCTION,BLANKCHECKS,813608000,86005000
ACER,AcerTherapeuticsInc,AcerTherapeuticsInc.apharmaceuticalcompanyfocusesontheacquisitiondevelopmentandcommercializationoftherapiesforseriousrareandlife-threateningdiseases.ThecompanyisheadquarteredinNewtonMassachusetts.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,20169100,24006800
ACET,AdicetBioInc,AdicetBioInc.abiotechnologycompanydiscoversanddevelopsallogeneicgammadeltaTcelltherapiesforcancerandotherdiseases.ThecompanyisheadquarteredinBostonMassachusetts.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,265048000,42957600
ACGL,ArchCapitalGroupLtd,ArchCapitalGroupLtd.offersinsurancereinsuranceandmortgageproductsworldwide.ThecompanyisheadquarteredinPembrokeBermuda.,NASDAQ,FINANCE,FIREMARINECASUALTYINSURANCE,27250190000,372423000
ACGN,AceragenInc.,None,NASDAQ,LIFESCIENCES,BIOLOGICALPRODUCTSNODISGNOSTICSUBSTANCES,None,0
ACHC,AcadiaHealthcareCompanyInc,AcadiaHealthcareCompanyInc.developsandoperatesinpatientpsychiatricfacilitiesresidentialtreatmentcentersgrouphomessubstanceabusefacilitiesandoutpatientbehavioralhealthfacilitiestoservethebehavioralhealthandrecoveryneedsofthecommunitiesintheUnitedStates.UnitedStatesandPuertoRico.ThecompanyisheadquarteredinFranklinTennessee.,NASDAQ,LIFESCIENCES,SERVICES-SPECIALTYOUTPATIENTFACILITIESNEC,6353156000,92035000
ACHL,AchillesTherapeuticsPLCADR,AchillesTherapeuticsPlcaclinical-stageimmuno-oncologybiopharmaceuticalcompanydevelopsprecisionT-celltherapiestotreatvarioustypesofsolidtumors.ThecompanyisheadquarteredinLondontheUnitedKingdom.,NASDAQ,LIFESCIENCES,BIOLOGICALPRODUCTSNODISGNOSTICSUBSTANCES,44623000,40938500
ACHR,ArcherAviationInc,None,NYSE,REALESTATECONSTRUCTION,BLANKCHECKS,776984000,184793000
ACHV,AchieveLifeSciencesInc,AchieveLifeSciencesInc.aclinical-stagepharmaceuticalcompanydevelopsandmarketscytisiniclineforsmokingandnicotineaddictioncessationintheUnitedStatesandinternationally.ThecompanyisheadquarteredinVancouverCanada.,NASDAQ,LIFESCIENCES,INVITROINVIVODIAGNOSTICSUBSTANCES,112033000,17930400
ACI,AlbertsonsCompanies,AlbertsonsCompaniesInc.participatesinthepharmacyandfoodoperationintheUnitedStates.,NYSE,TRADESERVICES,RETAIL-GROCERYSTORES,11539325000,573953000
ACIU,ACImmuneLtd,ACImmuneSAaclinical-stagebiopharmaceuticalcompanydiscoversdesignsanddevelopsdrugsanddiagnosticproductsforthepreventionandtreatmentofneurodegenerativediseasesassociatedwithproteinmisfolding.ThecompanyisheadquarteredinLausanneSwitzerland.,NASDAQ,LIFESCIENCES,PHARMACEUTICALPREPARATIONS,177693000,83620000
ACIW,ACIWorldwideInc,ACIWorldwideInc.asoftwarecompanydevelopsmarketsinstallsandsupportsavarietyofsoftwareproductsandsolutionstofacilitateelectronicpaymentstobanksfinancialintermediariesmerchantsandinvoiceissuersglobally.ThecompanyisheadquarteredinNaplesFlorida.,NASDAQ,TECHNOLOGY,SERVICES-PREPACKAGEDSOFTWARE,2594312000,108322000
